id,text,user,created_at
1654484843923644430,"Game Day!

⏰ 4:30 PM
🆚 Maryland 
📍 Eichelberger Field 
📊 https://t.co/1PxzQMzb5f
📺 @BigTenNetwork 
🔸 @kailee_powelll 

#Illini | #HTTO https://t.co/bMTeiNp3I8",IlliniSB,2023-05-05 13:55:00+00:00
1654484700159778816,"Here's how we'll look in doubles as we take on Florida State from Athens, GA!

📊/💻 - https://t.co/sH38itdkwc

#Illini | #HTTO https://t.co/Ks3J6aaqxe",IlliniWTennis,2023-05-05 13:54:26+00:00
1654484637392031744,"@ESPNRittenberg Good article. Wanted to point out an error. Jeff George in 1990 was not the last Top 5 pick for the Illini. Simeon Rice was selected 3rd overall in 1996, and Kevin Hardy was 2nd overall in the same draft. #Illini",MattMc4,2023-05-05 13:54:11+00:00
1654478554862850049,"Match Day @NCAATennis Tournament!  

⏰ 10 AM CT
📍 Cambridge, MA 
🆚 Arizona State 
📊 https://t.co/Dcgd29H1DH 
📺 https://t.co/GhpaheQBwD

#Illini | #HTTO https://t.co/sisE6sBNN8",IlliniMTennis,2023-05-05 13:30:00+00:00
1654475202246373376,"Starkville pipeline? Trey Petty to join high school teammate Luke Altmyer in #Illini QB room: 'He likes it up there, so I know I would' https://t.co/Gadf8hUstv",IlliniOn247,2023-05-05 13:16:41+00:00
1654475078933831680,In the film room: 2024 QB Trey Petty #illini  https://t.co/QO4Ux8Q7Us,IlliniOn247,2023-05-05 13:16:12+00:00
1654475031173275648,COMMIT: #Illini land three-star Mississippi QB Trey Petty https://t.co/IkN5BL80vc,IlliniOn247,2023-05-05 13:16:00+00:00
1654473546075103236,There are some truly remarkable athletes right now at Illinois. #Illini https://t.co/onlJ48kIwn,Champaign_Room,2023-05-05 13:10:06+00:00
1654458037732532227,"Big commitment for the Illinois offense on Thursday. Zain (@zainbando99) takes a look at the new pledge.

https://t.co/mCyjZdfO2j #Illini #Illinois #Football #B1G #Recruiting",WritingIlliniFS,2023-05-05 12:08:29+00:00
1654455370180435968,"The #illini landed two QBs (albeit a couple classes apart) from the same Mississippi high school this offseason. We've already taken a deep dive into transfer QB Luke Altmyer, but what does new commit @QBTPetty bring to Champaign? We tackle the tape here: https://t.co/ITyGwGyZNJ",RyanEasterling,2023-05-05 11:57:53+00:00
1654452129560690689,"Ready to go!

🆚 No. 24 Florida State
⏰ -  9 a.m. CT
📊/💻 - https://t.co/sH38itdSlK

#Illini | #HTTO https://t.co/7glAKfSAA4",IlliniWTennis,2023-05-05 11:45:00+00:00
1654447591252164608,"@QBTPetty Talked to Starkville coach Chris Jones about his last two starting QBs joining #illini.

""Both of them are really smart. Both of them are leaders. Both of them are really competitive. Both of them really love to win. But their game is slightly different.""
 https://t.co/a577trZWHk",JWerner247,2023-05-05 11:26:58+00:00
1654446961599102977,"Barry Lunney Jr. and #illini have double-dipped in Starkville to upgrade the QB room. Trey Petty (@QBTPetty) will once again learn from Luke Altmyer.

""I just feel like that’s a good spot that I got someone I can look up to.""

On the Starkville pipeline ⤵️
https://t.co/a577trZWHk",JWerner247,2023-05-05 11:24:28+00:00
1654440852603772929,"Good Morning, #Illini Nation: Matthew Mayer earns G League combine invite https://t.co/2tVoWIaNEv",IlliniHQ,2023-05-05 11:00:11+00:00
1654412610953961473,"University of Illinois lanyards $6.30 with free shipping! Click link to shop now.
https://t.co/mkSitmyUTQ
#sports #illini #illinois #illinoisbasketball #illinoisfootball #fightingillini https://t.co/9eXY4onFOS",david_fiers,2023-05-05 09:07:58+00:00
1654342745790595073,"Friday's N-G sports cover features @clikasNG on @SJOSoftball's IPC win, plus @JoeVozzelli on #Illini WBB commit Hayven Smith and @BHRABlueDevils grad Dylan Dodd earning win for Atlanta Braves in Miami. 

@APSE_sportmedia 

Sign up for our daily newsletter: https://t.co/XVCtjC2ilz https://t.co/FSDRwk5477",ngpreps,2023-05-05 04:30:21+00:00
1654327577505349632,"My wishlist:
Mash Mervis HR tomorrow in his debut with a cubs win. #cubs #NextStartsHere   The Cardinals to lose again.. repeat all summer 😈 Grizzlies Trade for OG #MemphisGrizzlies 
RayJ Dennis to commit to Illinois. #illini",JacobBook87,2023-05-05 03:30:05+00:00
1654317919457689630,"#Illini guard Makira Cook will participate at the 2023 USA Women's Americup Team trials next week in Colorado. Only 22 athletes are expected to participate for a chance to play for Team USA in the Fiba Women’s Americup in July.

https://t.co/18wm6ZoIEB",WCIA3sports,2023-05-05 02:51:42+00:00
1654313404088066049,Come join #illini fans! RayJ? And football commit https://t.co/7PbfCQ88QY,200ColumnsRy,2023-05-05 02:33:45+00:00
1654312560655491075,"""No other school’s head coach was trying that hard to get me. That just stood out a lot to me,"" 2024 #illini QB commit Trey Petty said.

More coming to @IlliniOn247 on the Illini's latest QB addition from Starkville (Miss.).

https://t.co/9o4tlFkUaS",JWerner247,2023-05-05 02:30:24+00:00
1654309714702872576,"📸 - #TBT to the Oskees!

#Illini | #HTTO https://t.co/N4yrcscFO9",IlliniSoccer,2023-05-05 02:19:06+00:00
1654307585837744129,Film Room:  We break down the junior film on new #Illini quarterback commit Trey Petty.   https://t.co/EDVJTqhSUc,IllinoisRivals,2023-05-05 02:10:38+00:00
1654303938101780481,#BOOM! The #Illini add a dual-threat QB to next year’s class. https://t.co/1OAcmepPsL,Champaign_Room,2023-05-05 01:56:08+00:00
1654302842528604161,"2024 3-star QB Trey Petty from Starkville, Miss. has verbally committed to Illinois.

Petty, who attends the same high school as current #Illini quarterback Luke Altmyer graduated from, is the third verbal pledge for Illinois' 2024 recruiting class. https://t.co/ryX3fJF7sC",matthewcstevens,2023-05-05 01:51:47+00:00
1654299179588411392,#Illini land a QB for 2024 https://t.co/fOxiYlczLm,WCIA3Bret,2023-05-05 01:37:14+00:00
1654298187035713536,Commit:  Illinois landed three-star quarterback Trey Petty from Starkville (MS) following an official visit last weekend.  #Illini.  https://t.co/gAwxWltHRD,IllinoisRivals,2023-05-05 01:33:17+00:00
1654289869361885184,"Thank you to the 93% of 2022 season ticket holders who renewed their tickets for the 2023 season!

Memorial Stadium is going to be special this fall. Join the famILLy: https://t.co/Sg75qb10my

#Illini // #HTTO https://t.co/MVGMe5F7MO",IlliniFootball,2023-05-05 01:00:14+00:00
1654289859182297094,"#Illini softball are sitting in 12th place in the Big Ten. Illinois needs a win over Maryland this weekend to solidify their spot in the tournament so they can play on their home field again this season.

https://t.co/teKuC0EGBi",WCIA3sports,2023-05-05 01:00:12+00:00
1654282795412254720,Illinois secured its third commitment in the Class of 2024 on Thursday night with three-star QB Trey Petty picking the #Illini. https://t.co/gKzjy3IMXx,IlliniHQ,2023-05-05 00:32:08+00:00
1654281488198713346,"Welcome Home, Trey 🔶🔷

#illini #famILLy https://t.co/JWk5mNq2HG",SSN_ILLINI,2023-05-05 00:26:56+00:00
1654281311647834113,Love when I get these pics #favoriteplayer #illini  @kshort07 @SencireH https://t.co/COYaIRZZhX,sis1017,2023-05-05 00:26:14+00:00
1654280232034095105,Third commit of the 2024 class for the #Illini. Petty goes to the same high school current Illini Luke Altmyer went to. https://t.co/Upv4PDkEZF,byAndyKimball,2023-05-05 00:21:57+00:00
1654278529683451905,"Nation-leading 7 tournament wins. 

#Illini // #HTTO https://t.co/JxWaXMILYa",IlliniMGolf,2023-05-05 00:15:11+00:00
1654278523874410496,Big get for the #Illini. QB of the future in Champaign! https://t.co/zkD2mszcq6,TNTCollegeFoot1,2023-05-05 00:15:09+00:00
1654278108940255234,"2024 247 3⭐️QB Trey Petty @QBTPetty from Starkville HS, Starkville MS has committed to @IlliniFootball. @_redshirtsports @GridironHeroics 
#ILLINI #famILLy /#HTTO #B1G #Commited #NCAAFB https://t.co/OufCNPw6Y2",TerrilMike,2023-05-05 00:13:30+00:00
1654275280658153472,"What can we say? She's got a lot of personality 😂

#Illini | #HTTO https://t.co/7Onsu9byJf",IlliniVBall,2023-05-05 00:02:16+00:00
1654275257950171138,"COMMIT: #illini land three-star Mississippi QB Trey Petty  (@QBTPetty) following official visit

Starkville pipeline? Petty, a dynamic dual-threat, will join former high school teammate Luke Altmyer in Illini QB room

READ: https://t.co/mNm17evkwx https://t.co/lZQyjJEpa2",JWerner247,2023-05-05 00:02:11+00:00
1654275012524744704,"Making it look easy

#Illini // #HTTO https://t.co/cKsHJdtOWc",IlliniWGym,2023-05-05 00:01:12+00:00
1654274793514971138,Cue the Bret Signal! #Illini 👀🔸🔹 https://t.co/i7t2SOxOUo https://t.co/sIyPS8lovi,BROskeeWowWow,2023-05-05 00:00:20+00:00
1654274708878098437,"Who will win? 

#Illini | #HTTO https://t.co/YxgooNlvWg",IlliniMGym,2023-05-05 00:00:00+00:00
1654273857237262336,#Illini junior guard Makira Cook lands invite to USA Women's AmeriCup Team trials later this month in Colorado. https://t.co/T3r2Jad5dT,JoeVozzelli,2023-05-04 23:56:37+00:00
1654267160108122115,"A pair of silvers for @TeamBraunagel and one for @KannonWebster from the U.S. Open Championships. Congratulations guys!

#Illini I #HTTO https://t.co/pmReeFVUUQ",IlliniWrestling,2023-05-04 23:30:00+00:00
1654264368287162370,"A weekend full of ⚾️, 🥎, and 🎾 for the Illini!

#Illini | #HTTO https://t.co/8xxNz7L0NP",IlliniAthletics,2023-05-04 23:18:54+00:00
1654262065417125890,"Always a treat to have one of the very elite athletes in the world in our studios, @KenyanScaroni.  #Illini https://t.co/9gnTUptMkP",scott_beatty,2023-05-04 23:09:45+00:00
1654255312155574272,"Updated ITA Rankings heading into the NCAA Tournament!

Team - No. 35
Duong/Heuser - No. 17
Yeah - No. 94

#Illini | #HTTO https://t.co/qMlqKqUFNI",IlliniWTennis,2023-05-04 22:42:55+00:00
1654252397533843456,"Congrats @makiracook!

We look forward to you representing the orange and blue!

More: https://t.co/Hv3BfhBxO6

#Illini | #HTTO | #OneWay https://t.co/jmJ9jTzzox",IlliniWBB,2023-05-04 22:31:20+00:00
1654252127181578240,"Learn more about Peacemaker Project 703: https://t.co/PON1MInp3v

#Illini | #HTTO",IlliniBaseball,2023-05-04 22:30:16+00:00
1654244911925846017,"Senior Spotlight: Erin Young

🔸 Native of Dana Point, CA
🔹 Majored in Speech and Hearing Sciences
🔸 Named a captain for the 2022-2023 season

#Illini | #HTTO https://t.co/Il99ISUfjt",IlliniSwimDive,2023-05-04 22:01:36+00:00
1654241523272151041,"Work on your skills and have some fun with the Illini Women’s Basketball team this summer 🔶🔷

Our camp sign ups are now LIVE! 

Visit https://t.co/UyfazsEq86 for more info and to sign up!

#Illini | #HTTO | #OneWay https://t.co/ZOM6Okb81e",IlliniWBB,2023-05-04 21:48:08+00:00
1654240735049416706,"Be it a special occasion, or just can't be bothered to cook, Chambana Eats is there for you! Find the best food no matter the event or lack thereof!

Check out our socials at: https://t.co/q4mdfapHzs

#illini #uiuc #chambana #foodies https://t.co/Wig6Sq1MMc",DailyIlliniAds,2023-05-04 21:45:00+00:00
1654236960892899329,".@enclark on the squad making the NCAA Tournament 🗣️

#Illini | #HTTO https://t.co/0YP9EHfy8e",IlliniWTennis,2023-05-04 21:30:00+00:00
1654235336782798856,"Behind the Shield with @kailee_powelll!

#Illini | #HTTO https://t.co/rFnWta9kVI",IlliniSB,2023-05-04 21:23:33+00:00
1654233743777726466,"Gaman: to endure the seemingly unbearable with patience and dignity. 

Story: https://t.co/9c07r8KG78

@kellyr_27 

#Illini | #HTTO | #APIDA https://t.co/7xTmIlaQ4A",IlliniAthletics,2023-05-04 21:17:13+00:00
1654220101619441666,"Duke transfer Shay Bollin finds quick comfort with #Illini WBB, Green: 'Her players always get better' https://t.co/oj3hP5wwFt",IlliniOn247,2023-05-04 20:23:00+00:00
1654218689623777280,"NCAA battle up next!

#Illini | #HTTO",IlliniMTennis,2023-05-04 20:17:24+00:00
1654217950893690888,"#MayThe4thBeWithYou, #Illini! 

Cart2-D2's victory display is here through the end of this week, so stop by and celebrate with him today! https://t.co/OiR2Y36foD",ILLINOISstacks,2023-05-04 20:14:28+00:00
1654217565722255366,"BCC guard and 2023 @ngpreps All-State First Team selection had an offer — and plenty of interest — from the #Illini. Micah Shrewsberry might have left Penn State, but he's still giving Illinois trouble. https://t.co/38NmxxRtaR",srrichey,2023-05-04 20:12:56+00:00
1654217104692768770,That hurts for the #Illini https://t.co/kx28kU9ags,Yiannithemvp,2023-05-04 20:11:06+00:00
1654215020253794306,"NCAA Tournament squad 💪

#Illini | #HTTO https://t.co/exzq27ZjKP",IlliniWTennis,2023-05-04 20:02:49+00:00
1654213333917024256,"SportsTalk on @wdws1400 from 4-6 p.m.:

@srrichey on the #Illini 
Recent Boston Marathon champ Susannah @KenyanScaroni 

+ We're playing 2 out of 3!

Loren, Evan, and I are here. Join us!",scott_beatty,2023-05-04 19:56:07+00:00
1654208126269128709,"Next Stop: NCAA Tournament!

🆚 No. 24 Florida State
⏰ - Tomorrow at 9 a.m. CT

#Illini | #HTTO https://t.co/UCw2hTROvD",IlliniWTennis,2023-05-04 19:35:25+00:00
1654207784747925504,"Previously we shared individual posts of our student staff by sections. Today, we share the entire Drum Major and Section Leader team for the 155th edition of the Marching Illini.

May the 4th be with YOU!

#MarchingIllini | #illini | #band155 | #altogetherextraordinary https://t.co/6bR6fJ2eaV",MarchingIllini,2023-05-04 19:34:04+00:00
1654206256788193280,"Looking for a gift for your Illini Graduate? 

Check out the Official Online store of the Fighting Illini to find the perfect gift 🎓

Shop now: https://t.co/Dlau4pJees

#Illini | #HTTO https://t.co/Iz64BIol1b",IlliniAthletics,2023-05-04 19:27:59+00:00
1654206020262981637,"I have a few people saying 0-4. 

I believe 0-3. Hunter didn’t play in one of the 4 games during his time at Michigan. I can’t blame him for Howard’s coaching or lack thereof in that fourth game. 

#Illini https://t.co/zOwo1MneQi",WritingIlliniFS,2023-05-04 19:27:03+00:00
1654203256271253506,@jeremiahfears2 @TheIlliniFN @IlliniMBB Let’s get ILL… #Illini,sgterraco1,2023-05-04 19:16:04+00:00
1654194011396100103,"There will be tons of fun at Eichelberger Field and Illinois Field this weekend 🥎⚾️

#Illini | #HTTO",IlliniAthletics,2023-05-04 18:39:20+00:00
1654191106542714882,"Feelin' good about being back at home tomorrow 😎

@gabirobles_ X @yazzynazz_33 

#Illini | #HTTO https://t.co/cK5J916kiJ",IlliniSB,2023-05-04 18:27:47+00:00
